StudentID,FirstName,LastName,DOB,Gender,ParentContact,ClassName
1,Kiara,Singh,05-02-2011,M,9809891114,C
2,Rudra,Bansal,22-10-2009,M,9834718747,C
3,Reyansh,Pillai,13-12-2010,M,9876721487,D
4,Navya,Sharma,25-02-2010,M,9802344785,A
5,Ayaan,Nair,17-12-2011,M,9831273711,A
6,Advik,Nair,05-07-2009,F,9852253476,C
7,Saanvi,Chopra,22-11-2012,M,9841681588,D
8,Pari,Patel,14-03-2010,M,9846664101,E
9,Pari,Chatterjee,03-07-2010,M,9814227092,C
10,Pari,Patel,03-06-2011,F,9877272053,B
11,Anaya,Gupta,20-09-2011,F,9815633223,A
12,Ira,Kaur,09-07-2012,M,9877311819,D
13,Aarav,Menon,15-07-2010,F,9871411363,A
14,Aadhya,Iyer,14-01-2011,F,9824603814,B
15,Ishaan,Das,24-01-2009,F,9892969945,A
16,Aadhya,Nanda,17-09-2011,M,9853732663,A
17,Aarav,Sharma,31-01-2010,M,9898907822,A
18,Ayaan,Singh,10-11-2010,F,9802751889,D
19,Navya,Iyer,28-10-2009,F,9840921281,C
20,Anaya,Agarwal,15-10-2012,M,9885417683,D
21,Vihaan,Nanda,25-03-2011,F,9877601218,A
22,Aadhya,Gupta,07-06-2010,F,9887813191,E
23,Anaya,Nanda,05-09-2012,F,9872156594,D
24,Aadhya,Agarwal,17-04-2010,F,9875261078,E
25,Reyansh,Menon,11-01-2010,M,9805325476,E
26,Kian,Agarwal,09-11-2012,M,9886961477,C
27,Arjun,Singh,10-01-2009,F,9844176469,C
28,Saanvi,Agarwal,03-10-2009,M,9866662076,E
29,Diya,Menon,13-08-2009,M,9808737901,B
30,Kiara,Menon,22-11-2009,F,9843644683,D
31,Saanvi,Chopra,08-01-2011,F,9840506237,C
32,Aarav,Sharma,23-06-2012,F,9819519668,D
33,Myra,Das,27-09-2012,M,9850067889,C
34,Anaya,Nanda,22-01-2009,M,9884297607,C
35,Ira,Singh,17-10-2010,M,9820038022,E
36,Advik,Chatterjee,03-01-2011,F,9802074181,A
37,Kiara,Singh,29-10-2012,M,9870134058,E
38,Meera,Chopra,09-07-2009,M,9893849606,D
39,Kian,Patel,22-03-2012,M,9883337738,D
40,Arjun,Singh,23-06-2010,F,9880719975,A
41,Arjun,Bansal,14-10-2009,M,9857207885,B
42,Ishaan,Pillai,09-11-2011,M,9896471481,B
43,Rudra,Singh,02-01-2011,F,9874906678,A
44,Vihaan,Patel,16-10-2009,M,9822341110,A
45,Reyansh,Menon,18-06-2009,F,9808755584,E
46,Kian,Das,03-11-2012,M,9880834667,C
47,Kian,Kaur,07-12-2009,F,9825366631,B
48,Meera,Bansal,17-10-2009,F,9894275112,A
49,Aarav,Chatterjee,12-04-2012,M,9864208591,A
50,Ishaan,Singh,03-09-2009,F,9830470292,D
